"DateTime","Sensor_id","Vendor","SensorModel","LAT","LONG","Zone","NoiseLevel_db","AlertTriggered","SensorStatus"
21-04-26 14:04:46,"64d7e4dbde37ccb5","ATT","AQM-01-00-01-00-01-00-GY",29.4159,-98.482952,"Downtown",69,"None","Normal"
21-04-26 14:14:47,"64d7e4dbde37ccb5","ATT","AQM-01-00-01-00-01-00-GY",29.4159,-98.482952,"Downtown",69,"None","Normal"
21-04-26 14:24:48,"64d7e4dbde37ccb5","ATT","AQM-01-00-01-00-01-00-GY",29.4159,-98.482952,"Downtown",65,"None","Normal"
21-04-26 14:34:48,"64d7e4dbde37ccb5","ATT","AQM-01-00-01-00-01-00-GY",29.4159,-98.482952,"Downtown",63,"None","Normal"
21-04-26 14:44:49,"64d7e4dbde37ccb5","ATT","AQM-01-00-01-00-01-00-GY",29.4159,-98.482952,"Downtown",66,"None","Normal"
21-04-26 14:54:49,"64d7e4dbde37ccb5","ATT","AQM-01-00-01-00-01-00-GY",29.4159,-98.482952,"Downtown",73,"None","Normal"
21-04-26 15:04:50,"64d7e4dbde37ccb5","ATT","AQM-01-00-01-00-01-00-GY",29.4159,-98.482952,"Downtown",58,"None","Normal"
21-04-26 15:14:53,"64d7e4dbde37ccb5","ATT","AQM-01-00-01-00-01-00-GY",29.4159,-98.482952,"Downtown",61,"None","Normal"
21-04-26 15:21:50,"64d7e4dbde37ccb5","ATT","AQM-01-00-01-00-01-00-GY",29.4159,-98.482952,"Downtown",64,"None","Normal"
21-04-26 15:31:51,"64d7e4dbde37ccb5","ATT","AQM-01-00-01-00-01-00-GY",29.4159,-98.482952,"Downtown",65,"None","Normal"
21-04-26 15:41:51,"64d7e4dbde37ccb5","ATT","AQM-01-00-01-00-01-00-GY",29.4159,-98.482952,"Downtown",70,"None","Normal"
21-04-26 15:51:51,"64d7e4dbde37ccb5","ATT","AQM-01-00-01-00-01-00-GY",29.4159,-98.482952,"Downtown",66,"None","Normal"
21-04-26 16:01:52,"64d7e4dbde37ccb5","ATT","AQM-01-00-01-00-01-00-GY",29.4159,-98.482952,"Downtown",67,"None","Normal"
